family,outer_fold,preprocessing,parameter,candidate_key,mae,rmse,r2,within_1_day,bias,fit_predict_seconds,n_train,n_test,n_train_dishes,n_test_dishes
PLSR,1,raw,n_components=20,raw|n_components=20,0.7286276466292483,0.9101749976866954,0.7159707909437796,0.7178916109873794,0.028260706221519515,0.1464691162109375,10758,2694,72,18
SVR_RBF,1,snv,C=100;epsilon=0.05;gamma=scale,snv|C=100;epsilon=0.05;gamma=scale,0.5801298939048103,0.8078626152584418,0.776237026811814,0.7999257609502598,0.0221536765247115,20.52982711791992,10758,2694,72,18
ExtraTrees,1,raw,max_features=1;min_samples_leaf=2,raw|max_features=1;min_samples_leaf=2,0.8780605048255382,1.1606412462041464,0.5381412220376065,0.6117297698589458,0.0234795430174049,8.209084749221802,10758,2694,72,18
PLSR,2,raw,n_components=30,raw|n_components=30,0.7173071635176945,0.89107995126858,0.7277633784390349,0.7234595397178916,0.0345985780060027,0.1901721954345703,10758,2694,72,18
SVR_RBF,2,savgol_d1,C=100;epsilon=0.05;gamma=scale,savgol_d1|C=100;epsilon=0.05;gamma=scale,0.5779144396671124,0.7926022597928509,0.7846108540930055,0.8021529324424648,0.0175701118226406,28.8269944190979,10758,2694,72,18
ExtraTrees,2,raw,max_features=1;min_samples_leaf=5,raw|max_features=1;min_samples_leaf=5,0.8366632056146719,1.0960832061875811,0.5880919788960751,0.6284335560504826,0.0159087797496296,6.326466083526611,10758,2694,72,18
PLSR,3,raw,n_components=20,raw|n_components=20,0.7420381706926961,0.9341865440281945,0.7007870288994257,0.7087053571428571,-0.0164231588337881,0.1377673149108886,10764,2688,72,18
SVR_RBF,3,savgol_d1,C=100;epsilon=0.05;gamma=scale,savgol_d1|C=100;epsilon=0.05;gamma=scale,0.5904743360510134,0.8157928341370698,0.7718224177499224,0.7935267857142857,-0.0583499693780464,28.637797832489014,10764,2688,72,18
ExtraTrees,3,raw,max_features=1;min_samples_leaf=2,raw|max_features=1;min_samples_leaf=2,0.8700911458333335,1.1500826287015902,0.5465062675973167,0.6071428571428571,0.0103833912037037,9.95490336418152,10764,2688,72,18
PLSR,4,raw,n_components=20,raw|n_components=20,0.7137933202032043,0.8821917556080613,0.7331672136013143,0.7321428571428571,-0.0249587001844364,0.1395943164825439,10764,2688,72,18
SVR_RBF,4,savgol_d1,C=100;epsilon=0.05;gamma=scale,savgol_d1|C=100;epsilon=0.05;gamma=scale,0.574003806425088,0.7998126473829649,0.7806741928295724,0.8125,-0.0343528099646077,28.19584584236145,10764,2688,72,18
ExtraTrees,4,raw,max_features=1;min_samples_leaf=2,raw|max_features=1;min_samples_leaf=2,0.8437018435846559,1.1150886437691188,0.5736836513841648,0.6223958333333334,-0.0016404183201058,9.555390119552612,10764,2688,72,18
PLSR,5,raw,n_components=20,raw|n_components=20,0.7072084653841207,0.8853804326299894,0.7312347964054626,0.7406994047619048,-0.0264044660246442,0.139850378036499,10764,2688,72,18
SVR_RBF,5,savgol_d1,C=100;epsilon=0.05;gamma=scale,savgol_d1|C=100;epsilon=0.05;gamma=scale,0.5622769691761262,0.783226388690887,0.7896764882485365,0.8046875,-0.0237415997988048,28.30009436607361,10764,2688,72,18
ExtraTrees,5,raw,max_features=1;min_samples_leaf=2,raw|max_features=1;min_samples_leaf=2,0.8506140459656085,1.1255653705124256,0.5656351760125347,0.6149553571428571,-0.0334430803571429,9.584338665008543,10764,2688,72,18
