training_subset,outer_fold,band_nm_approx,n_channels,vip_mean,vip_max,fraction_vip_gt_1,coefficient_abs_mean
all_six_stages,1,1400-1500,29,0.7736617314668734,1.0189477008730472,0.034482758620689655,8.063724978585393
all_six_stages,1,950-1400,131,1.0827678678930897,1.5842566750930598,0.6259541984732825,9.43886838693852
all_six_stages,1,1500-1650,44,0.7606337716331559,1.383289566751025,0.06818181818181818,7.2695774732025225
all_six_stages,2,1400-1500,29,0.7768318398412426,1.0259113796325787,0.034482758620689655,11.49090469034745
all_six_stages,2,950-1400,131,1.0815405672474971,1.582495696253329,0.648854961832061,11.551540671702286
all_six_stages,2,1500-1650,44,0.7627986477466184,1.3964285119037825,0.06818181818181818,10.252850082120723
all_six_stages,3,1400-1500,29,0.7742641665683838,1.0261246865664917,0.034482758620689655,7.937923875542584
all_six_stages,3,950-1400,131,1.0821062077898584,1.5922404145464346,0.6412213740458015,8.875654383723958
all_six_stages,3,1500-1650,44,0.7600873472566266,1.373244404102766,0.045454545454545456,7.132992697521806
all_six_stages,4,1400-1500,29,0.7733253997680918,1.0217885429797922,0.034482758620689655,8.662930167007694
all_six_stages,4,950-1400,131,1.0818848388271098,1.5694493334432602,0.6335877862595419,9.057685413428063
all_six_stages,4,1500-1650,44,0.761995125306965,1.37204434394355,0.06818181818181818,7.747838867504785
all_six_stages,5,1400-1500,29,0.7783297168463047,1.0470992757443207,0.06896551724137931,8.238112923811759
all_six_stages,5,950-1400,131,1.0804689485320724,1.5490850397913838,0.6412213740458015,8.938205880734266
all_six_stages,5,1500-1650,44,0.760669260852065,1.3670874573623066,0.06818181818181818,7.424627919410594
post_moisture_1_to_5,1,1400-1500,29,0.9006431918410719,1.1809528474023674,0.1724137931034483,8.214362030428942
post_moisture_1_to_5,1,950-1400,131,1.0189918507766087,1.7052989411150556,0.44274809160305345,10.662953600773319
post_moisture_1_to_5,1,1500-1650,44,0.9287205586577446,2.1434494345933217,0.13636363636363635,8.400494230755148
post_moisture_1_to_5,2,1400-1500,29,0.9045294959566106,1.196090191818145,0.20689655172413793,12.109258626046746
post_moisture_1_to_5,2,950-1400,131,1.0174474642392917,1.6921344837233117,0.45038167938931295,12.473673389343036
post_moisture_1_to_5,2,1500-1650,44,0.9334741447467142,2.1475833564083096,0.1590909090909091,10.987546793040808
post_moisture_1_to_5,3,1400-1500,29,0.9165559718984904,1.218148345837485,0.20689655172413793,8.18756470320181
post_moisture_1_to_5,3,950-1400,131,1.01972656191081,1.7030503330936289,0.48854961832061067,10.239767331060131
post_moisture_1_to_5,3,1500-1650,44,0.9218633632140399,2.0961531429894795,0.13636363636363635,7.977780594248225
post_moisture_1_to_5,4,1400-1500,29,0.9069018244100562,1.2030717874116037,0.1724137931034483,8.612272190425685
post_moisture_1_to_5,4,950-1400,131,1.0150662386488776,1.669372628301233,0.44274809160305345,10.55227809900187
post_moisture_1_to_5,4,1500-1650,44,0.9362940184828598,2.109041328107144,0.1590909090909091,8.411770896300801
post_moisture_1_to_5,5,1400-1500,29,0.9184131475243931,1.251470820627964,0.20689655172413793,8.609284714306893
post_moisture_1_to_5,5,950-1400,131,1.010677191080284,1.6224437552170683,0.44274809160305345,10.539149043756996
post_moisture_1_to_5,5,1500-1650,44,0.9411383377614904,2.1159503825452286,0.18181818181818182,8.757508017765794
