outer_fold,training_subset,channel_index_0based,wavelength_nm_approx,vip,coefficient_per_training_sd,n_training_observations,n_components
2,all_six_stages,0,950.0,1.582495696253329,12.866362800277646,10758,30
2,all_six_stages,1,953.448275862069,1.4584288434510708,9.020459580499923,10758,30
2,all_six_stages,2,956.8965517241379,1.3536617168613834,-9.364692696496185,10758,30
2,all_six_stages,3,960.3448275862069,1.278285703328522,3.9130792187942305,10758,30
2,all_six_stages,4,963.7931034482758,1.2266708875486858,-11.118052840805097,10758,30
2,all_six_stages,5,967.2413793103449,1.1945122647351902,-17.51013987917789,10758,30
2,all_six_stages,6,970.6896551724138,1.1607859002160714,1.0172465817882643,10758,30
2,all_six_stages,7,974.1379310344828,1.1533815396017932,10.38014882234691,10758,30
2,all_six_stages,8,977.5862068965517,1.1555912261735306,-1.8198814525843527,10758,30
2,all_six_stages,9,981.0344827586207,1.1791233978970712,-2.044675770037189,10758,30
2,all_six_stages,10,984.4827586206897,1.16255644751214,-18.93019888715457,10758,30
2,all_six_stages,11,987.9310344827586,1.1651930778692905,10.449687156332244,10758,30
2,all_six_stages,12,991.3793103448276,1.2057597612916238,-27.032842337770422,10758,30
2,all_six_stages,13,994.8275862068965,1.1897366678200825,9.184247791706683,10758,30
2,all_six_stages,14,998.2758620689655,1.2125214539237692,1.4400108622851584,10758,30
2,all_six_stages,15,1001.7241379310344,1.2373360547377918,-6.542067322541117,10758,30
2,all_six_stages,16,1005.1724137931035,1.257769915670282,12.82090074477688,10758,30
2,all_six_stages,17,1008.6206896551724,1.285623002020287,26.93297021916796,10758,30
2,all_six_stages,18,1012.0689655172414,1.2905429667856811,3.7381671070530134,10758,30
2,all_six_stages,19,1015.5172413793103,1.3177131985799935,-3.2843190112724256,10758,30
2,all_six_stages,20,1018.9655172413793,1.3463353506455247,10.462748794092548,10758,30
2,all_six_stages,21,1022.4137931034483,1.3554509579493972,-0.7667259467577083,10758,30
2,all_six_stages,22,1025.8620689655172,1.3707133631852704,10.90234011545485,10758,30
2,all_six_stages,23,1029.3103448275863,1.3945037764225645,-19.38769846835472,10758,30
2,all_six_stages,24,1032.7586206896551,1.398767000555491,-1.8020647517482222,10758,30
2,all_six_stages,25,1036.2068965517242,1.4031295133522679,2.3561031829205032,10758,30
2,all_six_stages,26,1039.655172413793,1.40873325980024,16.534810477484672,10758,30
2,all_six_stages,27,1043.103448275862,1.4105465607755368,1.621886900167756,10758,30
2,all_six_stages,28,1046.551724137931,1.4204905244670258,-9.163105792761492,10758,30
2,all_six_stages,29,1050.0,1.4007357662108382,-4.864208263060155,10758,30
2,all_six_stages,30,1053.4482758620688,1.3825981383485244,-11.789670668437092,10758,30
2,all_six_stages,31,1056.896551724138,1.3500410916247385,3.062858893198832,10758,30
2,all_six_stages,32,1060.344827586207,1.3310744558681993,-13.45505392119437,10758,30
2,all_six_stages,33,1063.7931034482758,1.2876149524589287,3.607602500789948,10758,30
2,all_six_stages,34,1067.2413793103449,1.263479820118042,10.971565947582935,10758,30
2,all_six_stages,35,1070.6896551724137,1.2254665100962523,-3.9803567974644416,10758,30
2,all_six_stages,36,1074.1379310344828,1.1851888044272816,7.515108461230424,10758,30
2,all_six_stages,37,1077.5862068965516,1.146374194518646,-16.840071153680064,10758,30
2,all_six_stages,38,1081.0344827586207,1.1055726181678402,-6.128554758433697,10758,30
2,all_six_stages,39,1084.4827586206898,1.0623869281974976,-8.695947458274436,10758,30
2,all_six_stages,40,1087.9310344827586,1.028084798800927,11.372486888911416,10758,30
2,all_six_stages,41,1091.3793103448277,1.0015248808554023,10.632439415706827,10758,30
2,all_six_stages,42,1094.8275862068965,0.9631822121764659,5.025403026778871,10758,30
2,all_six_stages,43,1098.2758620689656,0.9355807939691024,-3.513779206002209,10758,30
2,all_six_stages,44,1101.7241379310344,0.9308840299263944,-0.6808896771001378,10758,30
2,all_six_stages,45,1105.1724137931035,0.867363435825909,-9.135537276662516,10758,30
2,all_six_stages,46,1108.6206896551723,0.8278667103342472,-15.337803329580142,10758,30
2,all_six_stages,47,1112.0689655172414,0.7619813350435086,-7.640880870534474,10758,30
2,all_six_stages,48,1115.5172413793102,0.7768783780960794,5.3522258334016275,10758,30
2,all_six_stages,49,1118.9655172413793,0.8344636756910698,13.790820291326817,10758,30
2,all_six_stages,50,1122.4137931034484,0.8640513710682958,35.5210298626785,10758,30
2,all_six_stages,51,1125.8620689655172,0.8914482635474859,12.412192285838605,10758,30
2,all_six_stages,52,1129.3103448275863,0.8982392541967285,3.1414733695931534,10758,30
2,all_six_stages,53,1132.7586206896551,0.9038594858196641,-6.016562810325743,10758,30
2,all_six_stages,54,1136.2068965517242,0.8524342139208908,0.32649861007993036,10758,30
