outer_fold,C,preprocessing,epsilon,gamma,mae,rmse,r2,within_1_day,bias
1,100,snv,0.05,scale,0.5801298939048103,0.8078626152584418,0.776237026811814,0.7999257609502598,0.022153676524711605
1,300,snv,0.05,scale,0.5804863591215307,0.8091951211297229,0.7754982591793782,0.8032665181885672,0.029434803598006546
1,1000,snv,0.05,scale,0.593822476810628,0.8299606766242188,0.7638280943739894,0.8047512991833704,0.02029585422326572
2,100,savgol_d1,0.05,scale,0.5779144396671124,0.7926022597928509,0.7846108540930055,0.8021529324424648,0.01757011182264064
2,300,savgol_d1,0.05,scale,0.5946631608045082,0.8215770035125239,0.7685752779312167,0.8047512991833704,0.02737256730163967
2,1000,savgol_d1,0.05,scale,0.631378630146758,0.9191755525167935,0.7103255898247248,0.7880475129918337,0.05102229462511863
3,100,savgol_d1,0.05,scale,0.5904743360510134,0.8157928341370699,0.7718224177499224,0.7935267857142857,-0.05834996937804644
3,300,savgol_d1,0.05,scale,0.6089010165138852,0.8503571335197501,0.7520775127332825,0.7886904761904762,-0.03552140824695843
3,1000,savgol_d1,0.05,scale,0.6465530731785116,0.9426047313108536,0.695370167032135,0.7767857142857143,-0.017262628529819773
4,100,savgol_d1,0.05,scale,0.574003806425088,0.7998126473829649,0.7806741928295724,0.8125,-0.03435280996460775
4,300,savgol_d1,0.05,scale,0.587295236916629,0.8246099100355603,0.7668634844358212,0.8024553571428571,-0.028971682226981304
4,1000,savgol_d1,0.05,scale,0.6186897123853698,0.8846109182899303,0.7317017793973416,0.7942708333333334,-0.042473297110172906
5,100,savgol_d1,0.05,scale,0.5622769691761261,0.7832263886908869,0.7896764882485365,0.8046875,-0.023741599798804826
5,300,savgol_d1,0.05,scale,0.5774598444573794,0.8071141461356235,0.7766514588940903,0.8058035714285714,-0.01944691518211572
5,1000,savgol_d1,0.05,scale,0.6066011891028937,0.855162594734562,0.7492675211086347,0.8017113095238095,-0.015789788168629706
