scheme,fold,family,preprocessing,parameter,mae,rmse,r2,within_1_day,bias
random_row,1,SVR_RBF,savgol_d1,C=100;epsilon=0.05;gamma=scale,0.551078601251515,0.7623173249997557,0.8031796189628604,0.819769602378298,-0.0184575609017943
random_row,2,SVR_RBF,savgol_d1,C=100;epsilon=0.05;gamma=scale,0.5548778397078067,0.7565768783867064,0.8024341607019061,0.8097361575622445,0.0012178157746926
random_row,3,SVR_RBF,savgol_d1,C=100;epsilon=0.05;gamma=scale,0.5525401754659863,0.7706453371479653,0.7974569188448977,0.8118959107806691,-0.0048271019187944
random_row,4,SVR_RBF,savgol_d1,C=100;epsilon=0.05;gamma=scale,0.5583316543289188,0.7691244703516907,0.7988651537579741,0.816728624535316,-0.0375866964892669
random_row,5,SVR_RBF,savgol_d1,C=100;epsilon=0.05;gamma=scale,0.5555877231620722,0.7596989942771206,0.7979216412668897,0.8137546468401488,-0.0164671581415403
grain_disjoint,1,SVR_RBF,savgol_d1,C=100;epsilon=0.05;gamma=scale,0.5527701999587831,0.7639623226075729,0.7998953953037861,0.8195991091314031,0.0208052290603909
grain_disjoint,2,SVR_RBF,savgol_d1,C=100;epsilon=0.05;gamma=scale,0.5378938040362748,0.7521386558379962,0.8060414088208727,0.8281365998515219,-0.0613761653711965
grain_disjoint,3,SVR_RBF,savgol_d1,C=100;epsilon=0.05;gamma=scale,0.5703397545795381,0.7884267919557887,0.7868742378490183,0.8102678571428571,-0.0278775212138043
grain_disjoint,4,SVR_RBF,savgol_d1,C=100;epsilon=0.05;gamma=scale,0.5754356650414352,0.7906143799271913,0.7856899093436603,0.8031994047619048,-0.0472325773710172
grain_disjoint,5,SVR_RBF,savgol_d1,C=100;epsilon=0.05;gamma=scale,0.579547154742179,0.793699306032526,0.7840141982640525,0.8076636904761905,0.0309143736895489
dish_disjoint,1,SVR_RBF,savgol_d1,C=100;epsilon=0.05;gamma=scale,0.5715584331407224,0.7906185173532767,0.7856876662919222,0.8069784706755754,0.0126020203723306
dish_disjoint,2,SVR_RBF,savgol_d1,C=100;epsilon=0.05;gamma=scale,0.5779144396671124,0.7926022597928509,0.7846108540930055,0.8021529324424648,0.0175701118226406
dish_disjoint,3,SVR_RBF,savgol_d1,C=100;epsilon=0.05;gamma=scale,0.5904743360510134,0.8157928341370698,0.7718224177499224,0.7935267857142857,-0.0583499693780464
dish_disjoint,4,SVR_RBF,savgol_d1,C=100;epsilon=0.05;gamma=scale,0.574003806425088,0.7998126473829649,0.7806741928295724,0.8125,-0.0343528099646077
dish_disjoint,5,SVR_RBF,savgol_d1,C=100;epsilon=0.05;gamma=scale,0.5622769691761262,0.783226388690887,0.7896764882485365,0.8046875,-0.0237415997988048
